com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
2B207,1,2,1,1,4.0
2B219,1,2,2,1,4.0
2B251,1,1,0,1,3.0
2B304,1,2,1,1,4.0
2B319,1,2,1,2,4.0
30006,1,4,2,5,4.0
30007,4,8,6,2,3.75
30018,1,2,1,3,4.0
30028,1,2,1,1,4.0
30059,1,2,1,1,2.0
30060,1,1,1,0,3.0
30061,1,1,1,1,4.0
30085,1,1,1,0,3.0
30117,2,3,4,0,3.5
30135,1,2,1,1,4.0
30184,1,1,0,1,3.0
30189,3,5,2,4,3.33
30211,1,1,1,0,3.0
30223,1,1,1,0,3.0
30243,1,2,0,3,4.0
30269,2,4,3,3,3.5
30315,1,1,1,0,3.0
30326,1,2,2,1,2.0
30333,1,3,7,1,2.0
30336,1,1,1,0,3.0
31149,1,2,1,1,4.0
31150,1,2,3,1,4.0
31161,1,1,1,0,4.0
31228,1,2,0,2,3.0
31259,1,1,1,0,3.0
31389,1,2,2,0,3.0
31395,2,2,3,0,4.0
31406,1,1,0,2,4.0
31468,1,2,1,2,3.0
31480,1,1,1,0,3.0
31483,2,3,3,0,4.0
31493,1,2,0,2,4.0
31555,21,36,37,7,3.57
31557,1,1,2,0,4.0
31579,1,1,1,0,2.0
32013,2,4,3,1,4.0
32053,1,1,1,0,3.0
32091,1,2,3,2,4.0
32160,2,2,1,1,3.0
32224,1,2,1,3,4.0
32305,1,1,0,1,3.0
32404,1,1,0,1,3.0
32440,1,1,0,1,4.0
33003,1,2,1,1,3.0
33013,2,3,2,3,4.0
33014,1,1,2,0,3.0
33039,4,10,8,5,4.0
33042,2,4,5,0,3.5
33051,3,5,5,1,4.0
33063,25,48,45,22,3.88
33065,1,1,3,0,4.0
33069,1,2,1,1,3.0
33080,1,1,0,1,4.0
33085,1,2,1,0,2.0
33119,3,6,4,3,3.33
33143,2,6,6,0,4.0
33162,3,6,9,2,4.0
33167,1,3,2,1,4.0
33175,1,1,1,0,4.0
33179,1,1,1,0,2.0
33192,3,6,5,3,4.0
33196,1,2,1,1,2.0
33200,2,4,3,1,4.0
33214,1,1,2,0,4.0
33233,2,3,3,1,3.0
33245,1,1,1,0,3.0
33249,5,13,13,6,3.8
33281,7,16,12,4,3.86
33284,2,2,2,0,3.5
33310,1,1,1,0,4.0
33314,1,3,2,1,4.0
33318,3,5,4,0,4.0
33351,1,1,1,0,2.0
33383,1,1,1,1,3.0
33384,1,1,3,4,4.0
33393,1,2,2,0,3.0
33421,1,2,5,2,4.0
33439,1,2,3,0,3.0
33487,1,2,2,0,4.0
33496,1,2,1,1,3.0
33522,4,6,4,3,3.75
33529,4,8,6,2,4.0
33535,1,5,4,4,4.0
33539,1,1,1,0,3.0
33550,3,5,3,3,3.67
34003,2,3,3,1,4.0
34032,4,8,7,5,3.75
34057,1,2,1,1,3.0
34060,1,2,2,0,3.0
34085,1,2,2,1,3.0
34092,1,2,2,0,3.0
34095,2,4,3,1,3.5
34108,1,2,1,1,4.0
34129,2,4,3,1,4.0
34130,2,3,3,0,3.0
34146,1,1,1,0,3.0
34147,1,2,1,0,4.0
34150,1,1,1,1,4.0
34154,1,2,2,0,3.0
34172,9,15,14,4,3.78
34175,1,1,1,0,2.0
34198,1,3,3,0,4.0
34237,1,1,1,0,3.0
34240,1,2,3,0,3.0
34244,1,2,1,1,4.0
34252,1,2,2,1,4.0
34255,1,2,1,1,4.0
34270,1,2,2,0,3.0
34284,1,2,1,1,3.0
34299,1,2,2,0,3.0
34301,2,4,4,1,3.5
34314,1,2,2,0,2.0
34326,1,1,1,0,2.0
34332,1,2,2,1,3.0
34335,1,2,1,1,4.0
34344,1,1,1,0,3.0
35006,1,3,3,1,4.0
35024,1,1,2,0,4.0
